id,title,genres,averageRating,numVotes,releaseYear
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11763,2019
tt31862849,"Very Parivarik",Comedy,8.6,10567,2024
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10507,2019
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10302,2019
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10290,1999
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10253,2015
tt2306299,Vikings,"Action, Adventure, Drama",8.5,603248,2013
tt10048342,"The Queen's Gambit",Drama,8.5,588946,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,542507,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,502845,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,430940,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,359806,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,301886,2018
tt1586680,Shameless,"Comedy, Drama",8.5,300754,2011
tt1439629,Community,Comedy,8.5,299900,2009
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,284945,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,267280,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,262307,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,253085,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,194136,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,178235,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,173183,2015
tt2575988,"Silicon Valley",Comedy,8.5,170561,2014
tt0487831,"The IT Crowd",Comedy,8.5,167954,2006
tt3526078,"Schitt's Creek",Comedy,8.5,153466,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,148260,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,137156,2020
tt0290978,"The Office","Comedy, Drama",8.5,126096,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104655,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94382,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,91934,1995
tt3502248,Bosch,"Crime, Drama",8.5,86479,2014
tt10638036,Heartstopper,"Drama, Romance",8.5,84097,2022
tt1492966,Louie,"Comedy, Drama",8.5,83223,2010
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81866,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,80010,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78943,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,69481,1986
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,67430,1995
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67320,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,67269,2007
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,67246,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65537,1972
tt7120662,"Derry Girls",Comedy,8.5,65256,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,62677,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61749,2001
tt0187664,Spaced,Comedy,8.5,58757,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57691,2004
tt2937900,"The Knick","Drama, History",8.5,53532,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,53413,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,53291,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52786,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,51024,2004
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.5,50712,2016
tt0237123,Coupling,"Comedy, Romance",8.5,48504,2000
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,47279,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40674,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,39037,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,37214,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30901,2021
tt1526318,Borgen,Drama,8.5,30704,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30219,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29647,2009
tt0043208,"I Love Lucy",Comedy,8.5,29542,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27362,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,27018,2019
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25612,2023
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25466,1977
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,24016,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23242,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22907,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,22389,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21604,2014
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21584,2019
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21442,2002
tt7259746,"Queer Eye",Reality-TV,8.5,21391,2018
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20990,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20789,2016
tt1094229,Heartland,"Drama, Family",8.5,20772,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20592,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20104,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,20043,2013
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,19815,2020
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19688,1955
tt0493331,"Barareh Nights",Comedy,8.5,18830,2005
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17797,2016
tt0070644,"Scenes from a Marriage",Drama,8.5,17459,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17308,2015
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,16745,1992
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,16052,1996
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Fantasy",8.5,16021,2004
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15796,2017
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,15579,2020
tt26225038,"Death's Game","Drama, Fantasy",8.5,15487,2023
